address,suburb,postcode,sale_price,sale_date,property_type,bedrooms,bathrooms,parking_spaces,land_size_m2,sale_method,property_description,source,listing_url,full_address,geocode_level,latitude,longitude,coordinate_precision,coordinate_source,distance_to_cbd_km,nearest_station,distance_to_station_km
18/22 Nagle Street,Liverpool,2170,400000,2026-05-21,Apartment-Unit,2,1,1.0,72.0,Private Treaty,2-bedroom apartment with lock-up garage in 24-residence complex.,Domain,https://www.domain.com.au/18-22-nagle-street-liverpool-nsw-2170-2020740822,"18/22 Nagle Street, Liverpool, NSW 2170, Australia",NA,-33.92822778,150.92227675,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 22 Nagle Street, Unit 18, Liverpool, Sydney, New South Wales, 2170",27.30248011194204,Liverpool Station,0.5932554578752177
1/4 Beale Street,Liverpool,2170,420000,2026-05-21,Apartment-Unit,2,1,1.0,90.0,Private Treaty,Light-filled living/dining with internal laundry access.,Domain,https://www.domain.com.au/1-4-beale-street-liverpool-nsw-2170-2020722959,"1/4 Beale Street, Liverpool, NSW 2170, Australia",NA,-33.92326879,150.91550459,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 4 Beale Street, Unit 1, Liverpool, Sydney, New South Wales, 2170",27.78471862189252,Liverpool Station,1.1064282265507555
204/32 Shepherd Street,Liverpool,2170,475000,2026-05-21,Apartment-Unit,1,1,1.0,93.0,Private Treaty,"Contemporary apartment; building has gym, pool, secure parking.",Domain,https://www.domain.com.au/204-32-shepherd-street-liverpool-nsw-2170-2020717572,"204/32 Shepherd Street, Liverpool, NSW 2170, Australia",NA,-33.93339057,150.92243097,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 32 Shepherd Street, Unit 204, Liverpool, Sydney, New South Wales, 2170",27.43256569433778,Liverpool Station,1.0439552000534909
301/52-54 Copeland Street,Liverpool,2170,520000,2026-05-20,Apartment-Unit,2,1,1.0,NA,Private Treaty,Light-filled apartment with generous entertainers balcony.,Domain,https://www.domain.com.au/301-52-54-copeland-street-liverpool-nsw-2170-2020734257,"301/52-54 Copeland Street, Liverpool, NSW 2170, Australia",NA,-33.92119532,150.91952539,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.91; matched: 52 Copeland Street, Unit 301, Liverpool, Sydney, New South Wales, 2170",27.372972622490508,Liverpool Station,0.8309927410672051
4/13 Speed Street,Liverpool,2170,405000,2026-05-20,Apartment-Unit,2,1,1.0,NA,Private Treaty,Second-floor unit with private balcony and A/C.,Domain,https://www.domain.com.au/4-13-speed-street-liverpool-nsw-2170-2020756670,"4/13 Speed Street, Liverpool, NSW 2170, Australia",NA,-33.92710154,150.92391943,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 13 Speed Street, Unit 4, Liverpool, Sydney, New South Wales, 2170",27.12536858472846,Liverpool Station,0.3967327807345646
8/9 Elizabeth Street,Liverpool,2170,720000,2026-05-19,Apartment-Unit,3,2,1.0,154.0,Private Treaty,Second-floor apartment with views over Bigge Park.,Domain,https://www.domain.com.au/8-9-elizabeth-street-liverpool-nsw-2170-2020831433,"8/9 Elizabeth Street, Liverpool, NSW 2170, Australia",NA,-33.92048902,150.92781157,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 9 Elizabeth Street, Unit 8, Liverpool, Sydney, New South Wales, 2170",26.609223223316295,Liverpool Station,0.49549429163458764
14/2 Calabro Avenue,Liverpool,2170,779000,2026-06-06,Townhouse,2,1,1.0,NA,Private Treaty,"Double-storey townhouse, move-in ready, renovated kitchen.",Domain,https://www.domain.com.au/14-2-calabro-avenue-liverpool-nsw-2170-2020887955,"14/2 Calabro Avenue, Liverpool, NSW 2170, Australia",NA,-33.92831742,150.90687634,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 2 Calabro Avenue, Unit 14, Liverpool, Sydney, New South Wales, 2170",28.685942537314297,Liverpool Station,1.9242931019010325
4/66 Passefield Street,Liverpool,2170,795000,2026-04-09,Townhouse,2,2,2.0,192.0,Private Treaty,Open-plan living/dining flowing to covered alfresco entertaining.,Domain,https://www.domain.com.au/4-66-passefield-street-liverpool-nsw-2170-2020672220,"4/66 Passefield Street, Liverpool, NSW 2170, Australia",NA,-33.93087055,150.91029867,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 66 Passefield Street, Unit 4, Liverpool, Sydney, New South Wales, 2170",28.445838561947134,Liverpool Station,1.7045547251462279
3/32-34 Reilly Street,Liverpool,2170,750000,2026-02-25,Townhouse,2,1,1.0,NA,Private Treaty,"Well-maintained complex, open-plan living, near Liverpool CBD.",Domain,https://www.domain.com.au/3-32-34-reilly-street-liverpool-nsw-2170-2020544364,"3/32-34 Reilly Street, Liverpool, NSW 2170, Australia",NA,-33.93435302,150.91186223,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.9; matched: 32 Reilly Street, Unit 3, Liverpool, Sydney, New South Wales, 2170",28.40222760547,Casula Station,1.763276228236192
2/20 Shepherd Street,Liverpool,2170,850000,2026-02-07,Townhouse,3,2,2.0,NA,Auction,Contemporary townhouse in Paper Mill riverside precinct.,Domain,https://www.domain.com.au/2-20-shepherd-street-liverpool-nsw-2170-2020453822,"2/20 Shepherd Street, Liverpool, NSW 2170, Australia",NA,-33.93224585,150.92334108,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 20 Shepherd Street, Unit 2, Liverpool, Sydney, New South Wales, 2170",27.318532090389166,Liverpool Station,0.8931038218684239
14/3-5 Atkinson Street,Liverpool,2170,600000,2026-01-12,Townhouse,2,1,1.0,139.0,Private Treaty,"Three-level townhouse in secure complex, fenced courtyard.",Domain,https://www.domain.com.au/14-3-5-atkinson-street-liverpool-nsw-2170-2020456441,"14/3-5 Atkinson Street, Liverpool, NSW 2170, Australia",NA,-33.93110943,150.92447012,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.95; matched: 3 Atkinson Street, Unit 14, Liverpool, Sydney, New South Wales, 2170",27.18556800778768,Liverpool Station,0.7362991753752044
2/39 Mayberry Crescent,Liverpool,2170,795000,2025-12-12,Townhouse,3,2,1.0,114.0,Private Treaty,"Low-maintenance home close to transport, schools, shopping.",Domain,https://www.domain.com.au/2-39-mayberry-crescent-liverpool-nsw-2170-2020467930,"2/39 Mayberry Crescent, Liverpool, NSW 2170, Australia",1.0,-33.92054769,150.91295272,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 39 Mayberry Crescent, Unit 2, Liverpool, Sydney, New South Wales, 2170",27.951205948169015,Liverpool Station,1.4129928987551734
4/15 Roland Avenue,Liverpool,2170,980000,2025-11-15,Townhouse,4,3,1.0,NA,Auction,"Street-facing, architecturally designed, premium finishes.",Domain,https://www.domain.com.au/4-15-roland-avenue-liverpool-nsw-2170-2020357912,"4/15 Roland Avenue, Liverpool, NSW 2170, Australia",1.0,-33.92480934,150.90323977,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 15 Roland Avenue, Unit 4, Liverpool, Sydney, New South Wales, 2170",28.92670771476272,Liverpool Station,2.222612948880569
2/29 Boundary Road,Liverpool,2170,797000,2025-11-05,Townhouse,2,1,1.0,NA,Private Treaty,"Fully tiled townhouse with fenced garden, low-maintenance.",Domain,https://www.domain.com.au/2-29-boundary-road-liverpool-nsw-2170-2020353518,"2/29 Boundary Road, Liverpool, NSW 2170, Australia",1.0,-33.9355593,150.91053965,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 29 Boundary Road, Unit 2, Liverpool, Sydney, New South Wales, 2170",28.554606564729617,Casula Station,1.633476607236903
